# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
GJ 27.1,GJ 27.1 b,Radial Velocity,15.81900000,-44d15m11.6s,-44.253220,,
GJ 273,GJ 273 b,Radial Velocity,18.64980000,+05d13m32.8s,5.225785,,
GJ 273,GJ 273 c,Radial Velocity,4.72340000,+05d13m32.8s,5.225785,,
GJ 3021,GJ 3021 b,Radial Velocity,133.71000000,-79d51m04.3s,-79.851181,,
GJ 3082,GJ 3082 b,Radial Velocity,11.94900000,-53d56m31.6s,-53.942116,,
GJ 3138,GJ 3138 b,Radial Velocity,1.22003000,-16d20m22.5s,-16.339592,,
GJ 3138,GJ 3138 c,Radial Velocity,5.97400000,-16d20m22.5s,-16.339592,,
GJ 3138,GJ 3138 d,Radial Velocity,257.80000000,-16d20m22.5s,-16.339592,,
GJ 317,GJ 317 b,Radial Velocity,692.00000000,-23d27m22.6s,-23.456289,794.50000,
GJ 317,GJ 317 c,Radial Velocity,5312.00000000,-23d27m22.6s,-23.456289,,
GJ 328,GJ 328 b,Radial Velocity,4100.00000000,+01d32m47.4s,1.546508,,
GJ 3293,GJ 3293 b,Radial Velocity,30.59870000,-25d10m09.5s,-25.169301,,
GJ 3293,GJ 3293 c,Radial Velocity,122.61960000,-25d10m09.5s,-25.169301,,
GJ 3293,GJ 3293 d,Radial Velocity,48.13450000,-25d10m09.5s,-25.169301,,
GJ 3293,GJ 3293 e,Radial Velocity,13.25430000,-25d10m09.5s,-25.169301,,
GJ 3323,GJ 3323 b,Radial Velocity,5.36360000,-06d56m46.5s,-6.946263,,
GJ 3323,GJ 3323 c,Radial Velocity,40.54000000,-06d56m46.5s,-6.946263,,
GJ 3341,GJ 3341 b,Radial Velocity,14.20700000,-31d17m45.4s,-31.295951,,
GJ 3470,GJ 3470 b,Radial Velocity,3.33664960,+15d23m29.4s,15.391492,13.90000,4.570
GJ 3512,GJ 3512 b,Radial Velocity,203.59000000,+59d29m50.6s,59.497391,,
GJ 357,GJ 357 b,Transit,3.93072000,-21d39m38.9s,-21.660797,1.84000,1.217
GJ 357,GJ 357 c,Radial Velocity,9.12470000,-21d39m38.9s,-21.660797,,
GJ 357,GJ 357 d,Radial Velocity,55.66100000,-21d39m38.9s,-21.660797,,
GJ 3634,GJ 3634 b,Radial Velocity,2.64561000,-31d08m38.4s,-31.143989,8.40000,
GJ 3779,GJ 3779 b,Radial Velocity,3.02320000,+24d28m03.5s,24.467626,,
GJ 3942,GJ 3942 b,Radial Velocity,6.90500000,+52d56m37.9s,52.943874,,
GJ 3998,GJ 3998 b,Radial Velocity,2.64977000,+11d03m27.6s,11.057666,,
GJ 3998,GJ 3998 c,Radial Velocity,13.74000000,+11d03m27.6s,11.057666,,
GJ 411,GJ 411 b,Radial Velocity,12.95320000,+35d58m11.6s,35.969879,,
GJ 422,GJ 422 b,Radial Velocity,20.12900000,-57d32m51.6s,-57.547668,,
GJ 4276,GJ 4276 b,Radial Velocity,13.35200000,+59d24m49.8s,59.413835,,
GJ 433,GJ 433 b,Radial Velocity,7.37050000,-32d32m23.9s,-32.539970,,
GJ 433,GJ 433 c,Radial Velocity,5094.10500000,-32d32m23.9s,-32.539970,,
GJ 433,GJ 433 d,Radial Velocity,36.05900000,-32d32m23.9s,-32.539970,,
GJ 436,GJ 436 b,Radial Velocity,2.64388312,+26d42m23.7s,26.706570,22.10000,4.170
GJ 504,GJ 504 b,Imaging,,+09d25m27.0s,9.424156,1271.30000,
GJ 536,GJ 536 b,Radial Velocity,8.70760000,-02d39m17.5s,-2.654864,,
GJ 581,GJ 581 b,Radial Velocity,5.36860000,-07d43m20.2s,-7.722280,,
GJ 581,GJ 581 c,Radial Velocity,12.91400000,-07d43m20.2s,-7.722280,,
GJ 581,GJ 581 e,Radial Velocity,3.14900000,-07d43m20.2s,-7.722280,,
GJ 625,GJ 625 b,Radial Velocity,14.62800000,+54d18m14.8s,54.304104,,
GJ 649,GJ 649 b,Radial Velocity,598.30000000,+25d44m39.0s,25.744160,,
GJ 667 C,GJ 667 C b,Radial Velocity,7.20040000,-34d59m48.6s,-34.996827,,
GJ 667 C,GJ 667 C c,Radial Velocity,28.14000000,-34d59m48.6s,-34.996827,,
GJ 667 C,GJ 667 C e,Radial Velocity,62.24000000,-34d59m48.6s,-34.996827,,
GJ 667 C,GJ 667 C f,Radial Velocity,39.02600000,-34d59m48.6s,-34.996827,,
GJ 667 C,GJ 667 C g,Radial Velocity,256.20000000,-34d59m48.6s,-34.996827,,
GJ 674,GJ 674 b,Radial Velocity,4.69380000,-46d53m42.7s,-46.895191,,
GJ 676 A,GJ 676 A b,Radial Velocity,1056.80005000,-51d38m13.1s,-51.636978,,
GJ 676 A,GJ 676 A c,Radial Velocity,7337.00000000,-51d38m13.1s,-51.636978,,
GJ 676 A,GJ 676 A d,Radial Velocity,3.60050000,-51d38m13.1s,-51.636978,,
GJ 676 A,GJ 676 A e,Radial Velocity,35.39000000,-51d38m13.1s,-51.636978,,
GJ 682,GJ 682 b,Radial Velocity,17.47800000,-44d19m09.2s,-44.319214,,
GJ 682,GJ 682 c,Radial Velocity,57.32000000,-44d19m09.2s,-44.319214,,
GJ 685,GJ 685 b,Radial Velocity,24.16000000,+61d40m53.6s,61.681564,,
GJ 687,GJ 687 b,Radial Velocity,38.14000000,+68d20m20.9s,68.339142,,
GJ 832,GJ 832 b,Radial Velocity,3657.00000000,-49d00m32.4s,-49.009006,,
GJ 832,GJ 832 c,Radial Velocity,35.68000000,-49d00m32.4s,-49.009006,,
GJ 849,GJ 849 b,Radial Velocity,1882.00000000,-04d38m26.6s,-4.640729,,
GJ 86,GJ 86 b,Radial Velocity,15.76491000,-50d49m25.4s,-50.823723,,
GJ 876,GJ 876 b,Radial Velocity,61.11660000,-14d15m49.3s,-14.263700,723.22350,
GJ 876,GJ 876 c,Radial Velocity,30.08810000,-14d15m49.3s,-14.263700,226.98460,
GJ 876,GJ 876 d,Radial Velocity,1.93778000,-14d15m49.3s,-14.263700,6.83000,
GJ 876,GJ 876 e,Radial Velocity,124.26000000,-14d15m49.3s,-14.263700,14.60000,
GJ 96,GJ 96 b,Radial Velocity,73.94000000,+47d52m48.1s,47.880028,,
GJ 9827,GJ 9827 b,Transit,1.20898190,-01d17m10.6s,-1.286273,4.91000,1.577
GJ 9827,GJ 9827 c,Transit,3.64809570,-01d17m10.6s,-1.286273,0.84000,1.241
GJ 9827,GJ 9827 d,Transit,6.20146980,-01d17m10.6s,-1.286273,4.04000,2.022
GQ Lup,GQ Lup b,Imaging,,-35d39m05.1s,-35.651421,6356.00000,33.600
GSC 06214-00210,GSC 06214-00210 b,Imaging,,-20d43m09.1s,-20.719202,5000.00000,
GU Psc,GU Psc b,Imaging,,+17d03m55.7s,17.065475,3591.30000,14.179
Gl 378,Gl 378 b,Radial Velocity,3.82200000,+48d05m19.7s,48.088806,,
Gl 49,Gl 49 b,Radial Velocity,13.85080000,+62d20m42.2s,62.345043,,
Gl 686,Gl 686 b,Radial Velocity,15.53140000,+18d35m30.2s,18.591709,,
HAT-P-1,HAT-P-1 b,Transit,4.46529976,+38d40m29.8s,38.674953,166.86075,14.785
HAT-P-11,HAT-P-11 b,Transit,4.88780244,+48d04m51.1s,48.080856,,4.360
HAT-P-11,HAT-P-11 c,Radial Velocity,3407.00000000,+48d04m51.1s,48.080856,,
HAT-P-12,HAT-P-12 b,Transit,3.21305980,+43d29m36.7s,43.493534,67.05900,10.749
HAT-P-13,HAT-P-13 b,Transit,2.91625000,+47d21m07.4s,47.352051,270.46200,14.258
HAT-P-13,HAT-P-13 c,Radial Velocity,446.27000000,+47d21m07.4s,47.352051,,
HAT-P-14,HAT-P-14 b,Transit,4.62767000,+38d14m31.8s,38.242165,1093.33520,15.917
HAT-P-15,HAT-P-15 b,Transit,10.86350000,+39d27m38.3s,39.460636,616.59020,11.882
HAT-P-16,HAT-P-16 b,Transit,2.77596000,+42d27m47.1s,42.463078,1332.60500,14.448
HAT-P-17,HAT-P-17 b,Transit,10.33852000,+30d29m19.4s,30.488716,184.34140,11.769
HAT-P-17,HAT-P-17 c,Radial Velocity,5584.00000000,+30d29m19.4s,30.488716,,
HAT-P-18,HAT-P-18 b,Transit,5.50802300,+33d00m45.0s,33.012512,62.61000,11.153
HAT-P-19,HAT-P-19 b,Transit,4.00877800,+34d42m41.7s,34.711575,92.80200,12.689
HAT-P-2,HAT-P-2 b,Transit,5.63351580,+41d02m53.1s,41.048084,,
HAT-P-20,HAT-P-20 b,Transit,2.87531700,+24d20m11.9s,24.336630,2302.89900,9.718
